# pT <MultiQ> <MultiG>
100 7.19391 14.9363
200 10.2031 21.7069
300 12.4415 26.7435
400 14.2829 30.8866
500 15.873 34.4655
600 17.285 37.6413
700 18.5643 40.5197
800 19.7391 43.1631
900 20.8291 45.6156
1000 21.8485 47.9091
1100 22.8082 50.0685
1200 23.7166 52.1124
1300 24.5801 54.0552
1400 25.404 55.9091
1500 26.1927 57.6831
1600 26.9502 59.388
1700 27.6789 61.0276
1800 28.3821 62.6105
1900 29.0613 64.1379
2000 29.7189 65.6177
2100 30.3566 67.0523
2200 30.9757 68.4452
2300 31.5777 69.7998
2400 32.1637 71.1184
2500 32.7346 72.4031
